~iteration~,metric_loss,total_loss,classifier_loss
0,0.08371579647064209,0.08371579647064209,0.0
1,0.08762452006340027,0.08762452006340027,0.0
2,0.0837540328502655,0.0837540328502655,0.0
3,0.09322529286146164,0.09322529286146164,0.0
4,0.0972646027803421,0.0972646027803421,0.0
5,0.0893111601471901,0.0893111601471901,0.0
6,0.10097118467092514,0.10097118467092514,0.0
7,0.08782437443733215,0.08782437443733215,0.0
8,0.08689416199922562,0.08689416199922562,0.0
9,0.08937327563762665,0.08937327563762665,0.0
10,0.08218945562839508,0.08218945562839508,0.0
11,0.09071355313062668,0.09071355313062668,0.0
12,0.09195943176746368,0.09195943176746368,0.0
13,0.0879184901714325,0.0879184901714325,0.0
14,0.08909779042005539,0.08909779042005539,0.0
15,0.08774812519550323,0.08774812519550323,0.0
16,0.09577642381191254,0.09577642381191254,0.0
17,0.0895538330078125,0.0895538330078125,0.0
18,0.08533548563718796,0.08533548563718796,0.0
19,0.0907573401927948,0.0907573401927948,0.0
20,0.0900028720498085,0.0900028720498085,0.0
21,0.08471857011318207,0.08471857011318207,0.0
22,0.08633636683225632,0.08633636683225632,0.0
23,0.08068165928125381,0.08068165928125381,0.0
24,0.09028960764408112,0.09028960764408112,0.0
25,0.07908300310373306,0.07908300310373306,0.0
26,0.09254851937294006,0.09254851937294006,0.0
27,0.08822281658649445,0.08822281658649445,0.0
28,0.08973333239555359,0.08973333239555359,0.0
29,0.08727262914180756,0.08727262914180756,0.0
30,0.09021060913801193,0.09021060913801193,0.0
31,0.09130226075649261,0.09130226075649261,0.0
32,0.09079593420028687,0.09079593420028687,0.0
33,0.09179066866636276,0.09179066866636276,0.0
34,0.08716756105422974,0.08716756105422974,0.0
35,0.08637944608926773,0.08637944608926773,0.0
36,0.08647183328866959,0.08647183328866959,0.0
37,0.0858418196439743,0.0858418196439743,0.0
38,0.09343638271093369,0.09343638271093369,0.0
39,0.09480243921279907,0.09480243921279907,0.0
40,0.09801676869392395,0.09801676869392395,0.0
41,0.08580896258354187,0.08580896258354187,0.0
42,0.08677943795919418,0.08677943795919418,0.0
43,0.09908219426870346,0.09908219426870346,0.0
44,0.10287171602249146,0.10287171602249146,0.0
45,0.09672605246305466,0.09672605246305466,0.0
46,0.08911465108394623,0.08911465108394623,0.0
47,0.08471528440713882,0.08471528440713882,0.0
48,0.0884026288986206,0.0884026288986206,0.0
49,0.08940712362527847,0.08940712362527847,0.0
